Package last-used report
Generated: 2026-08-29 07:04:52
Packages: 717

PACKAGE                                   TYPE    VERSION     LAST USED    ENV               PATH
ipywidgets                                python  8.1.8       2025-11-01   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/ipywidgets-8.1.8.dist-info
jupyterlab_widgets                        python  3.0.16      2025-11-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jupyterlab_widgets-3.0.16.dist-info
argon2-cffi-bindings                      python  25.1.0      2025-11-07   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/argon2_cffi_bindings-25.1.0.dist-info
zstandard                                 python  0.25.0      2025-11-07   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/zstandard-0.25.0-py3.13.egg-info
PyWavelets                                python  1.9.0       2025-11-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pywavelets-1.9.0.dist-info
shellingham                               python  1.5.4       2025-11-11   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/shellingham-1.5.4.dist-info
tblib                                     python  3.2.2       2025-11-12   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/tblib-3.2.2.dist-info
bleach                                    python  6.3.0       2025-11-19   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/bleach-6.3.0.dist-info
exceptiongroup                            python  1.3.1       2025-11-23   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/exceptiongroup-1.3.1.dist-info
jellyfish                                 python  1.2.1       2025-11-25   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jellyfish-1.2.1.dist-info
pyobjc-framework-FSEvents                 python  12.1        2025-11-28   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyobjc_framework_fsevents-12.1.dist-info
pyobjc-framework-CoreServices             python  12.1        2025-11-29   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyobjc_framework_coreservices-12.1.dist-info
cycler                                    python  0.12.1      2025-11-29   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/cycler-0.12.1.dist-info
toml                                      python  0.10.2      2025-11-30   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/toml-0.10.2.dist-info
gast                                      python  0.7.0       2025-11-30   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/gast-0.7.0.dist-info
Jinja2                                    python  3.1.6       2025-11-30   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jinja2-3.1.6.dist-info
tinycss2                                  python  1.5.1       2025-12-01   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/tinycss2-1.5.1.dist-info
pluggy                                    python  1.6.0       2025-12-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pluggy-1.6.0.dist-info
lz4                                       python  4.4.5       2025-12-06   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/lz4-4.4.5.dist-info
jsonpatch                                 python  1.33        2025-12-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jsonpatch-1.33.dist-info
imageio                                   python  2.37.0      2025-12-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/imageio-2.37.0.dist-info
jupyter-console                           python  6.6.3       2025-12-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jupyter_console-6.6.3.dist-info
autopep8                                  python  2.0.4       2025-12-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/autopep8-2.0.4.dist-info
networkx                                  python  3.6.1       2025-12-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/networkx-3.6.1.dist-info
cloudpickle                               python  3.1.2       2025-12-09   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/cloudpickle-3.1.2.dist-info
pytest-mock                               python  3.15.1      2025-12-11   pyenv:3.11.9      /Users/faiz/.pyenv/versions/3.11.9/lib/python3.11/site-packages/pytest_mock-3.15.1.dist-info
anyio                                     python  4.12.0      2025-12-11   pyenv:3.11.9      /Users/faiz/.pyenv/versions/3.11.9/lib/python3.11/site-packages/anyio-4.12.0.dist-info
pytest-asyncio                            python  1.3.0       2025-12-11   pyenv:3.11.9      /Users/faiz/.pyenv/versions/3.11.9/lib/python3.11/site-packages/pytest_asyncio-1.3.0.dist-info
hypothesis                                python  6.148.5     2025-12-11   pyenv:3.11.9      /Users/faiz/.pyenv/versions/3.11.9/lib/python3.11/site-packages/hypothesis-6.148.5.dist-info
pytest-cov                                python  7.0.0       2025-12-11   pyenv:3.11.9      /Users/faiz/.pyenv/versions/3.11.9/lib/python3.11/site-packages/pytest_cov-7.0.0.dist-info
bqscales                                  python  0.3.7       2025-12-12   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/bqscales-0.3.7.dist-info
joblib                                    python  1.5.3       2025-12-15   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/joblib-1.5.3.dist-info
roman-numerals                            python  4.1.0       2025-12-17   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/roman_numerals-4.1.0.dist-info
hvplot                                    python  0.12.2      2025-12-18   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/hvplot-0.12.2.dist-info
ruamel.yaml                               python  0.18.17     2025-12-19   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/ruamel_yaml-0.18.17.dist-info
truststore                                python  0.10.4      2025-12-23   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/truststore-0.10.4.dist-info
terminado                                 python  0.18.1      2025-12-23   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/terminado-0.18.1.dist-info
